Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/11/01,00:00,24.5,0.0,97,274,1.4
2023/11/01,01:00,24.5,0.0,97,298,1.2
2023/11/01,02:00,24.3,0.0,97,310,1.2
2023/11/01,03:00,24.1,0.0,97,323,1.3
2023/11/01,04:00,24.1,0.0,98,317,1.5
2023/11/01,05:00,24.0,0.0,99,304,0.4
2023/11/01,06:00,24.2,0.0,99,197,0.4
2023/11/01,07:00,24.3,0.0,99,199,0.7
2023/11/01,08:00,24.8,0.0,98,219,0.6
2023/11/01,09:00,25.4,0.0,95,268,0.7
2023/11/01,10:00,26.4,0.0,90,297,0.3
2023/11/01,11:00,27.1,0.0,87,324,0.5
2023/11/01,12:00,28.1,0.0,84,341,0.7
2023/11/01,13:00,28.6,0.0,82,298,1.0
2023/11/01,14:00,29.3,0.0,78,297,1.1
2023/11/01,15:00,28.3,0.0,78,21,1.2
2023/11/01,16:00,27.2,0.0,78,83,0.4
2023/11/01,17:00,27.5,0.0,80,169,0.6
2023/11/01,18:00,26.8,0.0,86,169,0.8
2023/11/01,19:00,25.9,0.0,92,156,1.2
2023/11/01,20:00,25.6,0.5,90,52,2.2
2023/11/01,21:00,23.5,9.1,97,71,1.4
2023/11/01,22:00,23.0,5.1,98,110,2.0
2023/11/01,23:00,23.1,1.9,99,162,1.8
2023/11/02,00:00,22.9,0.4,98,138,1.5
2023/11/02,01:00,22.7,0.1,99,95,0.0
2023/11/02,02:00,23.0,0.0,99,320,1.3
2023/11/02,03:00,23.0,0.0,98,305,1.8
2023/11/02,04:00,23.0,0.0,98,314,2.1
2023/11/02,05:00,22.9,0.0,98,16,1.5
2023/11/02,06:00,23.0,0.0,98,16,1.5
2023/11/02,07:00,23.1,1.3,98,20,1.0
2023/11/02,08:00,23.4,0.6,98,342,1.1
2023/11/02,09:00,23.8,0.0,96,350,1.1
2023/11/02,10:00,24.4,0.1,94,23,1.8
2023/11/02,11:00,25.4,0.0,88,27,2.6
2023/11/02,12:00,27.0,0.0,80,355,1.7
2023/11/02,13:00,27.4,0.0,80,289,1.6
2023/11/02,14:00,27.4,0.0,80,261,1.2
2023/11/02,15:00,27.9,0.0,78,269,0.9
2023/11/02,16:00,28.5,0.0,76,274,1.2
2023/11/02,17:00,27.6,0.0,79,242,1.7
2023/11/02,18:00,26.5,0.0,83,227,1.4
2023/11/02,19:00,24.9,0.0,94,187,0.3
2023/11/02,20:00,24.3,0.0,96,111,0.6
2023/11/02,21:00,S/D,S/D,S/D,S/D,S/D
2023/11/02,22:00,23.7,0.0,98,186,0.4
2023/11/02,23:00,23.6,0.0,98,40,0.1
2023/11/03,00:00,23.4,0.0,98,200,0.6
2023/11/03,01:00,23.3,0.0,99,209,0.7
2023/11/03,02:00,23.4,0.0,99,258,0.3
2023/11/03,03:00,23.3,0.0,99,205,0.1
2023/11/03,04:00,23.3,0.0,98,335,0.1
2023/11/03,05:00,23.0,0.0,99,129,0.1
2023/11/03,06:00,22.9,0.0,99,175,0.2
2023/11/03,07:00,24.2,0.0,96,304,0.5
2023/11/03,08:00,26.1,0.0,88,318,0.7
2023/11/03,09:00,28.0,0.0,80,306,0.6
