Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/08/01,00:00,21.9,0.0,94,126,0.7
2024/08/01,01:00,21.8,0.0,95,60,0.3
2024/08/01,02:00,21.9,0.0,95,55,0.2
2024/08/01,03:00,21.8,0.0,96,53,0.4
2024/08/01,04:00,21.7,0.0,96,129,0.0
2024/08/01,05:00,21.7,0.0,96,S/D,0.0
2024/08/01,06:00,21.8,0.0,97,S/D,0.0
2024/08/01,07:00,21.8,0.0,97,S/D,0.0
2024/08/01,08:00,22.3,0.0,96,36,0.0
2024/08/01,09:00,22.7,0.0,96,8,0.5
2024/08/01,10:00,23.3,0.0,94,8,0.1
2024/08/01,11:00,23.8,0.0,93,330,1.0
2024/08/01,12:00,24.7,0.0,90,352,0.7
2024/08/01,13:00,26.0,0.0,86,343,0.5
2024/08/01,14:00,27.1,0.0,82,328,0.7
2024/08/01,15:00,27.5,0.0,80,346,0.6
2024/08/01,16:00,27.8,0.0,76,315,0.9
2024/08/01,17:00,27.7,0.0,76,314,1.1
2024/08/01,18:00,26.9,0.0,78,330,1.0
2024/08/01,19:00,25.6,0.0,83,337,0.1
2024/08/01,20:00,24.4,0.0,89,S/D,0.0
2024/08/01,21:00,23.7,0.0,92,S/D,0.0
2024/08/01,22:00,23.4,0.0,93,S/D,0.0
2024/08/01,23:00,22.8,0.0,94,S/D,0.0
2024/08/02,00:00,22.5,0.0,95,S/D,0.0
2024/08/02,01:00,22.4,0.0,96,S/D,0.0
2024/08/02,02:00,22.3,0.0,96,S/D,0.0
2024/08/02,03:00,22.1,0.0,96,S/D,0.0
2024/08/02,04:00,21.7,0.0,97,S/D,0.0
2024/08/02,05:00,21.4,0.0,97,S/D,0.0
2024/08/02,06:00,21.5,0.0,97,S/D,0.0
2024/08/02,07:00,21.2,0.0,98,S/D,0.0
2024/08/02,08:00,22.9,0.0,97,306,0.0
2024/08/02,09:00,24.5,0.0,93,340,0.1
2024/08/02,10:00,26.3,0.0,87,316,0.0
2024/08/02,11:00,28.0,0.0,80,351,0.0
2024/08/02,12:00,29.7,0.0,72,45,0.1
2024/08/02,13:00,31.0,0.0,63,21,0.3
2024/08/02,14:00,32.1,0.0,58,17,0.2
2024/08/02,15:00,32.6,0.0,54,13,0.1
2024/08/02,16:00,32.6,0.0,51,124,0.4
2024/08/02,17:00,32.8,0.0,49,114,0.1
2024/08/02,18:00,32.2,0.0,54,S/D,0.0
2024/08/02,19:00,27.7,0.0,76,S/D,0.0
2024/08/02,20:00,25.5,0.0,85,S/D,0.0
2024/08/02,21:00,24.8,0.0,88,S/D,0.0
2024/08/02,22:00,24.4,0.0,91,S/D,0.0
2024/08/02,23:00,23.8,0.0,92,S/D,0.0
2024/08/03,00:00,23.4,0.0,93,S/D,0.0
2024/08/03,01:00,23.0,0.0,94,S/D,0.0
2024/08/03,02:00,23.0,0.0,95,S/D,0.0
2024/08/03,03:00,23.2,0.0,95,S/D,0.0
2024/08/03,04:00,23.0,0.0,96,S/D,0.0
2024/08/03,05:00,22.4,0.0,96,S/D,0.0
2024/08/03,06:00,22.0,0.0,96,S/D,0.0
2024/08/03,07:00,22.3,0.0,96,S/D,0.0
2024/08/03,08:00,24.8,0.0,94,353,0.0
2024/08/03,09:00,26.4,0.0,89,34,0.5
2024/08/03,10:00,27.8,0.0,82,29,0.4
2024/08/03,11:00,29.5,0.0,76,23,0.2
2024/08/03,12:00,30.8,0.1,69,19,0.6
2024/08/03,13:00,32.0,0.1,61,22,0.2
2024/08/03,14:00,32.8,0.0,54,35,0.1
2024/08/03,15:00,33.0,0.0,54,28,1.0
2024/08/03,16:00,25.3,0.0,85,18,3.1
2024/08/03,17:00,24.6,0.1,91,76,0.4
2024/08/03,18:00,24.4,0.0,93,215,0.0
2024/08/03,19:00,24.3,0.0,94,65,0.0
2024/08/03,20:00,24.2,0.0,95,S/D,0.0
2024/08/03,21:00,23.9,0.0,96,S/D,0.0
2024/08/03,22:00,23.5,0.0,96,122,0.0
2024/08/03,23:00,23.2,0.0,97,161,0.0
2024/08/04,00:00,23.0,0.0,97,53,0.0
2024/08/04,01:00,22.9,0.0,97,81,0.0
2024/08/04,02:00,22.9,0.0,98,S/D,0.0
2024/08/04,03:00,22.9,0.0,98,S/D,0.0
2024/08/04,04:00,22.6,0.0,98,S/D,0.0
2024/08/04,05:00,22.9,0.0,98,323,0.0
2024/08/04,06:00,22.9,0.0,98,314,0.0
2024/08/04,07:00,23.0,0.0,98,S/D,0.0
2024/08/04,08:00,23.5,0.0,97,S/D,0.0
2024/08/04,09:00,24.6,0.0,94,313,0.0
2024/08/04,10:00,25.9,0.0,90,303,0.0
2024/08/04,11:00,27.4,0.0,85,340,0.0
2024/08/04,12:00,27.4,0.1,82,35,2.7
2024/08/04,13:00,24.4,0.1,95,17,0.4
2024/08/04,14:00,24.8,0.0,95,213,0.1
2024/08/04,15:00,25.3,0.0,95,225,0.2
2024/08/04,16:00,25.4,0.0,95,229,0.1
2024/08/04,17:00,25.4,0.0,95,245,0.0
2024/08/04,18:00,25.3,0.0,95,220,0.0
2024/08/04,19:00,24.6,0.0,96,227,0.0
2024/08/04,20:00,24.4,0.0,97,204,0.2
2024/08/04,21:00,24.2,0.0,97,215,0.2
2024/08/04,22:00,23.9,0.0,97,191,0.0
2024/08/04,23:00,23.8,0.0,98,195,0.8
2024/08/05,00:00,23.5,0.0,98,211,0.1
2024/08/05,01:00,23.3,0.0,98,227,0.1
2024/08/05,02:00,23.2,0.0,98,349,0.0
2024/08/05,03:00,23.2,0.0,99,319,0.0
2024/08/05,04:00,23.2,0.0,99,344,0.0
2024/08/05,05:00,23.2,0.0,99,324,0.1
2024/08/05,06:00,23.2,0.0,99,223,0.0
2024/08/05,07:00,23.1,0.0,99,209,0.1
2024/08/05,08:00,23.3,0.0,99,S/D,0.0
2024/08/05,09:00,24.0,0.0,96,S/D,0.0
2024/08/05,10:00,25.1,0.2,93,S/D,0.0
2024/08/05,11:00,25.5,0.1,94,31,0.0
2024/08/05,12:00,25.1,0.0,93,73,1.8
2024/08/05,13:00,22.0,0.1,97,61,0.7
2024/08/05,14:00,22.5,0.0,98,52,1.3
2024/08/05,15:00,23.1,0.0,97,358,0.3
