Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/06/01,00:00,22.2,0.0,94,162,0.6
2024/06/01,01:00,21.6,0.0,95,157,0.0
2024/06/01,02:00,21.2,0.0,96,S/D,0.0
2024/06/01,03:00,20.9,0.0,96,S/D,0.0
2024/06/01,04:00,20.7,0.0,96,S/D,0.0
2024/06/01,05:00,20.7,0.0,97,S/D,0.0
2024/06/01,06:00,20.7,0.0,97,271,0.2
2024/06/01,07:00,21.0,0.0,97,217,0.2
2024/06/01,08:00,22.6,0.0,95,208,0.6
2024/06/01,09:00,23.8,0.0,90,205,1.4
2024/06/01,10:00,25.1,0.0,86,192,1.5
2024/06/01,11:00,26.0,0.0,82,209,1.4
2024/06/01,12:00,26.6,0.0,79,247,1.5
2024/06/01,13:00,27.2,0.0,77,232,1.8
2024/06/01,14:00,27.2,0.0,75,235,1.8
2024/06/01,15:00,27.9,0.0,73,234,2.3
2024/06/01,16:00,27.5,0.0,73,230,1.6
2024/06/01,17:00,28.0,0.0,72,219,1.2
2024/06/01,18:00,26.7,0.0,74,228,1.7
2024/06/01,19:00,24.7,0.0,81,227,0.8
2024/06/01,20:00,23.7,0.0,86,S/D,0.0
2024/06/01,21:00,22.9,0.0,90,S/D,0.0
2024/06/01,22:00,22.5,0.0,92,S/D,0.0
2024/06/01,23:00,22.1,0.0,93,S/D,0.0
2024/06/02,00:00,21.6,0.0,94,S/D,0.0
2024/06/02,01:00,21.4,0.0,94,S/D,0.0
2024/06/02,02:00,21.0,0.0,95,S/D,0.0
2024/06/02,03:00,20.8,0.0,96,S/D,0.0
2024/06/02,04:00,20.5,0.0,96,S/D,0.0
2024/06/02,05:00,20.4,0.0,96,S/D,0.0
2024/06/02,06:00,20.9,0.0,97,305,0.4
2024/06/02,07:00,21.7,0.0,97,292,0.4
2024/06/02,08:00,22.5,0.0,97,258,0.5
2024/06/02,09:00,23.8,0.0,94,295,1.1
2024/06/02,10:00,25.6,0.0,89,303,1.7
2024/06/02,11:00,27.4,0.0,82,294,1.9
2024/06/02,12:00,28.9,0.0,75,297,1.7
2024/06/02,13:00,30.0,0.0,70,304,1.8
2024/06/02,14:00,30.6,0.0,64,290,1.2
2024/06/02,15:00,30.7,0.0,62,263,0.7
2024/06/02,16:00,30.8,0.0,60,300,0.9
2024/06/02,17:00,30.7,0.0,60,262,0.3
2024/06/02,18:00,29.9,0.0,67,S/D,0.0
2024/06/02,19:00,26.6,0.0,80,198,0.3
2024/06/02,20:00,25.3,0.0,86,S/D,0.0
2024/06/02,21:00,24.6,0.0,89,S/D,0.0
2024/06/02,22:00,24.0,0.0,91,S/D,0.0
2024/06/02,23:00,23.7,0.0,93,S/D,0.0
2024/06/03,00:00,23.3,0.0,93,S/D,0.0
2024/06/03,01:00,22.9,0.0,94,S/D,0.0
2024/06/03,02:00,22.6,0.0,95,S/D,0.0
2024/06/03,03:00,22.4,0.0,95,S/D,0.0
2024/06/03,04:00,22.0,0.0,95,114,0.2
2024/06/03,05:00,21.9,0.0,96,266,0.2
2024/06/03,06:00,21.6,0.0,96,S/D,0.0
2024/06/03,07:00,22.1,0.0,96,224,0.1
2024/06/03,08:00,24.6,0.0,93,211,0.4
2024/06/03,09:00,26.3,0.0,87,217,1.7
2024/06/03,10:00,28.3,0.0,81,215,1.4
2024/06/03,11:00,29.2,0.0,75,207,1.9
2024/06/03,12:00,29.7,0.0,72,198,1.9
2024/06/03,13:00,30.7,0.0,67,231,0.9
2024/06/03,14:00,31.6,0.0,61,301,1.5
2024/06/03,15:00,32.0,0.0,59,292,0.9
2024/06/03,16:00,31.9,0.0,57,265,1.7
2024/06/03,17:00,31.3,0.0,58,257,1.5
2024/06/03,18:00,30.8,0.0,59,230,0.6
2024/06/03,19:00,27.3,0.0,76,S/D,0.0
2024/06/03,20:00,26.2,0.0,83,S/D,0.0
2024/06/03,21:00,25.9,0.0,87,155,0.1
2024/06/03,22:00,25.7,0.0,90,S/D,0.0
2024/06/03,23:00,25.3,0.1,91,75,0.1
2024/06/04,00:00,25.1,0.1,92,115,1.2
2024/06/04,01:00,24.5,5.7,94,117,3.4
2024/06/04,02:00,24.3,0.1,95,11,0.5
2024/06/04,03:00,24.2,2.9,96,127,1.8
2024/06/04,04:00,23.7,0.2,96,137,1.0
2024/06/04,05:00,23.5,0.1,96,259,0.0
2024/06/04,06:00,23.6,0.1,96,191,0.5
2024/06/04,07:00,23.4,0.1,96,208,0.9
2024/06/04,08:00,23.1,0.0,95,198,2.5
2024/06/04,09:00,23.2,1.3,95,187,3.2
2024/06/04,10:00,23.4,0.8,95,211,2.8
2024/06/04,11:00,23.7,0.0,95,230,2.2
2024/06/04,12:00,23.8,0.0,93,238,2.1
2024/06/04,13:00,24.3,0.0,92,253,1.7
2024/06/04,14:00,25.1,0.0,89,254,2.2
2024/06/04,15:00,25.6,0.0,87,254,2.2
2024/06/04,16:00,25.5,0.0,86,264,2.3
2024/06/04,17:00,25.0,0.0,87,272,2.2
2024/06/04,18:00,25.1,0.0,87,290,1.8
2024/06/04,19:00,24.3,0.0,89,279,0.9
2024/06/04,20:00,23.9,2.9,91,265,0.1
2024/06/04,21:00,23.7,4.1,93,324,0.3
2024/06/04,22:00,23.5,0.0,94,310,1.7
2024/06/04,23:00,23.3,0.0,95,286,1.2
2024/06/05,00:00,23.1,0.2,95,289,1.4
2024/06/05,01:00,22.9,0.1,96,299,1.4
2024/06/05,02:00,22.8,0.9,96,291,0.7
2024/06/05,03:00,22.7,0.1,96,284,1.0
2024/06/05,04:00,22.5,1.3,96,278,1.3
2024/06/05,05:00,22.4,4.1,97,248,1.2
2024/06/05,06:00,22.1,4.2,97,235,1.6
2024/06/05,07:00,22.0,3.1,97,263,1.7
2024/06/05,08:00,22.1,0.8,97,269,1.4
2024/06/05,09:00,22.3,1.1,97,271,1.7
2024/06/05,10:00,22.5,1.0,97,275,1.5
2024/06/05,11:00,22.6,1.6,97,275,1.3
2024/06/05,12:00,22.9,3.1,97,273,1.5
2024/06/05,13:00,23.0,0.7,96,273,1.5
2024/06/05,14:00,23.2,0.4,96,281,1.3
2024/06/05,15:00,22.9,1.8,97,261,1.0
2024/06/05,16:00,23.2,0.2,96,311,1.7
2024/06/05,17:00,23.1,0.4,96,313,1.3
2024/06/05,18:00,23.0,0.7,96,326,1.8
2024/06/05,19:00,22.7,0.5,97,315,1.6
2024/06/05,20:00,22.6,0.0,97,286,1.3
2024/06/05,21:00,22.7,0.0,97,274,1.2
2024/06/05,22:00,22.7,0.0,97,292,1.0
2024/06/05,23:00,22.6,0.0,97,295,0.6
2024/06/06,00:00,22.5,0.0,98,237,0.2
2024/06/06,01:00,22.5,0.0,98,334,0.3
2024/06/06,02:00,22.5,0.0,98,327,0.5
2024/06/06,03:00,22.4,0.0,98,312,0.9
2024/06/06,04:00,22.4,0.0,98,320,0.8
2024/06/06,05:00,22.4,0.0,98,331,0.1
2024/06/06,06:00,22.3,0.0,98,S/D,0.0
2024/06/06,07:00,22.4,0.1,98,206,0.2
2024/06/06,08:00,22.9,0.0,97,240,0.3
2024/06/06,09:00,23.2,0.1,97,267,0.4
2024/06/06,10:00,23.6,0.0,95,269,1.0
2024/06/06,11:00,24.0,0.0,93,272,1.3
2024/06/06,12:00,24.4,0.0,92,268,0.5
2024/06/06,13:00,25.1,0.0,91,277,0.4
2024/06/06,14:00,25.7,0.0,89,278,0.4
2024/06/06,15:00,25.0,6.1,91,245,0.2
2024/06/06,16:00,24.3,3.1,95,252,0.0
2024/06/06,17:00,24.5,0.0,95,270,0.0
2024/06/06,18:00,24.4,0.0,95,268,0.0
2024/06/06,19:00,24.1,0.0,96,S/D,0.0
2024/06/06,20:00,23.9,0.0,96,S/D,0.0
2024/06/06,21:00,23.7,0.0,97,S/D,0.0
2024/06/06,22:00,23.7,0.0,97,225,0.0
2024/06/06,23:00,23.6,0.0,96,225,0.0
2024/06/07,00:00,23.4,0.0,97,221,0.0
2024/06/07,01:00,23.4,0.0,97,S/D,0.0
2024/06/07,02:00,23.2,0.0,97,197,0.4
2024/06/07,03:00,23.0,0.0,97,227,0.0
2024/06/07,04:00,22.9,0.0,97,S/D,0.0
2024/06/07,05:00,22.8,0.0,97,S/D,0.0
2024/06/07,06:00,22.7,0.0,97,220,0.0
2024/06/07,07:00,22.6,0.1,97,S/D,0.0
2024/06/07,08:00,22.9,1.0,97,224,0.2
2024/06/07,09:00,22.9,9.1,97,230,0.3
2024/06/07,10:00,23.0,4.0,98,258,0.2
2024/06/07,11:00,23.7,0.7,97,277,0.1
2024/06/07,12:00,24.4,0.0,94,280,0.1
2024/06/07,13:00,24.5,0.9,94,244,0.4
2024/06/07,14:00,24.6,0.7,95,257,0.2
2024/06/07,15:00,24.5,0.0,94,274,0.2
2024/06/07,16:00,24.7,0.0,93,275,0.3
2024/06/07,17:00,25.0,0.0,92,263,0.0
2024/06/07,18:00,24.5,0.0,93,264,0.1
2024/06/07,19:00,24.1,0.0,94,S/D,0.0
2024/06/07,20:00,23.7,0.0,95,S/D,0.0
2024/06/07,21:00,23.5,0.0,96,S/D,0.0
2024/06/07,22:00,23.4,0.0,97,S/D,0.0
2024/06/07,23:00,23.3,0.0,97,S/D,0.0
2024/06/08,00:00,23.2,0.0,97,S/D,0.0
2024/06/08,01:00,23.1,0.0,97,S/D,0.0
2024/06/08,02:00,22.9,0.0,98,S/D,0.0
2024/06/08,03:00,22.9,0.0,98,S/D,0.0
2024/06/08,04:00,22.9,0.0,98,S/D,0.0
2024/06/08,05:00,22.9,0.0,98,S/D,0.0
2024/06/08,06:00,22.9,0.0,98,265,0.0
2024/06/08,07:00,22.8,0.0,96,275,0.1
2024/06/08,08:00,23.3,0.0,96,275,0.1
2024/06/08,09:00,24.2,0.0,94,258,0.1
2024/06/08,10:00,24.4,0.0,93,254,0.2
2024/06/08,11:00,24.3,0.0,93,257,0.2
2024/06/08,12:00,24.9,0.0,93,279,0.2
2024/06/08,13:00,25.0,1.3,90,230,1.3
2024/06/08,14:00,24.9,0.6,93,239,0.3
2024/06/08,15:00,24.9,0.2,94,239,0.7
2024/06/08,16:00,24.9,0.0,93,266,0.6
2024/06/08,17:00,25.3,0.0,91,251,0.3
2024/06/08,18:00,24.9,0.0,91,S/D,0.0
2024/06/08,19:00,24.2,0.0,93,S/D,0.0
2024/06/08,20:00,23.8,0.0,95,S/D,0.0
2024/06/08,21:00,23.4,0.0,96,S/D,0.0
2024/06/08,22:00,23.0,0.0,96,S/D,0.0
2024/06/08,23:00,23.0,0.0,97,S/D,0.0
2024/06/09,00:00,23.3,0.0,97,S/D,0.0
2024/06/09,01:00,23.3,0.0,97,S/D,0.0
2024/06/09,02:00,23.2,0.2,98,S/D,0.0
2024/06/09,03:00,23.1,0.1,98,S/D,0.0
2024/06/09,04:00,23.1,0.0,98,76,0.0
2024/06/09,05:00,23.0,0.1,98,S/D,0.0
2024/06/09,06:00,22.9,0.0,98,S/D,0.0
2024/06/09,07:00,22.9,0.0,98,S/D,0.0
2024/06/09,08:00,23.2,0.0,98,S/D,0.0
2024/06/09,09:00,23.9,0.0,97,S/D,0.0
2024/06/09,10:00,25.0,0.0,94,S/D,0.0
2024/06/09,11:00,26.6,0.0,89,S/D,0.0
2024/06/09,12:00,27.8,0.0,85,S/D,0.0
2024/06/09,13:00,26.8,0.7,87,24,0.8
2024/06/09,14:00,25.1,1.6,91,2,0.5
2024/06/09,15:00,26.8,0.0,86,277,0.4
