Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/03/01,00:00,25.0,0.0,94,263,0.1
2024/03/01,01:00,24.6,0.0,95,226,0.1
2024/03/01,02:00,24.4,0.0,95,S/D,0.0
2024/03/01,03:00,24.3,0.0,96,S/D,0.0
2024/03/01,04:00,24.2,0.0,96,229,0.2
2024/03/01,05:00,24.2,0.0,96,224,0.0
2024/03/01,06:00,24.2,0.0,97,262,0.3
2024/03/01,07:00,24.3,0.0,97,284,0.2
2024/03/01,08:00,24.5,0.0,97,292,0.1
2024/03/01,09:00,25.2,0.0,95,258,0.3
2024/03/01,10:00,25.6,0.0,93,220,0.2
2024/03/01,11:00,26.0,0.0,92,153,1.0
2024/03/01,12:00,26.4,0.0,92,178,1.5
2024/03/01,13:00,26.9,0.0,90,165,1.6
2024/03/01,14:00,28.1,0.0,87,198,0.7
2024/03/01,15:00,29.6,0.0,82,170,0.5
2024/03/01,16:00,29.9,0.0,79,168,1.0
2024/03/01,17:00,29.8,0.0,78,171,1.6
2024/03/01,18:00,29.2,0.0,79,167,1.4
2024/03/01,19:00,27.9,0.0,84,164,1.2
2024/03/01,20:00,27.1,0.0,88,198,0.8
2024/03/01,21:00,26.7,0.0,90,174,1.6
2024/03/01,22:00,26.1,0.0,90,169,1.8
2024/03/01,23:00,25.4,0.0,91,179,1.8
2024/03/02,00:00,24.9,0.0,92,167,0.5
2024/03/02,01:00,24.3,0.0,93,S/D,0.0
2024/03/02,02:00,24.0,0.0,94,199,0.3
2024/03/02,03:00,23.8,0.0,95,236,0.4
2024/03/02,04:00,23.8,0.0,95,211,0.2
2024/03/02,05:00,23.9,0.0,95,213,0.5
2024/03/02,06:00,23.9,0.0,96,204,0.2
2024/03/02,07:00,23.9,0.0,96,164,0.5
2024/03/02,08:00,24.0,0.0,96,84,0.7
2024/03/02,09:00,24.3,0.0,95,105,0.7
2024/03/02,10:00,25.2,0.0,93,195,0.2
2024/03/02,11:00,26.5,0.0,89,348,0.7
2024/03/02,12:00,27.7,0.0,85,313,1.2
2024/03/02,13:00,28.9,0.0,81,309,1.5
2024/03/02,14:00,29.9,0.0,77,308,1.1
2024/03/02,15:00,29.6,0.0,75,314,0.2
2024/03/02,16:00,30.3,0.0,73,339,0.4
2024/03/02,17:00,30.1,0.0,71,26,0.6
2024/03/02,18:00,29.3,0.0,74,31,0.5
2024/03/02,19:00,27.0,0.3,81,141,1.1
2024/03/02,20:00,S/D,S/D,S/D,S/D,S/D
2024/03/02,21:00,25.9,0.0,90,226,0.1
2024/03/02,22:00,25.4,0.0,92,248,0.2
2024/03/02,23:00,25.2,0.0,92,283,0.2
2024/03/03,00:00,25.1,0.0,93,310,0.8
2024/03/03,01:00,24.7,0.0,93,283,1.1
2024/03/03,02:00,24.3,0.0,94,233,0.6
2024/03/03,03:00,24.2,0.0,95,245,0.7
2024/03/03,04:00,24.0,0.0,95,231,0.7
2024/03/03,05:00,23.9,0.0,95,227,0.7
2024/03/03,06:00,23.8,0.0,96,99,0.7
2024/03/03,07:00,23.7,0.3,95,119,1.2
2024/03/03,08:00,23.8,0.1,95,11,0.2
2024/03/03,09:00,24.4,0.0,94,S/D,0.0
2024/03/03,10:00,25.4,0.0,92,S/D,0.0
2024/03/03,11:00,25.9,0.0,91,33,1.4
2024/03/03,12:00,26.4,0.0,90,78,0.8
2024/03/03,13:00,28.3,0.0,86,6,0.4
2024/03/03,14:00,28.8,0.0,80,34,2.2
2024/03/03,15:00,29.3,0.0,79,27,1.2
2024/03/03,16:00,28.8,0.0,79,43,1.2
2024/03/03,17:00,28.5,0.0,81,29,0.4
2024/03/03,18:00,28.0,0.0,83,316,0.1
2024/03/03,19:00,27.1,0.0,88,S/D,0.0
2024/03/03,20:00,26.5,0.0,90,S/D,0.0
