Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/01/01,00:00,24.0,0.0,96,241,0.3
2024/01/01,01:00,23.8,0.0,96,265,0.1
2024/01/01,02:00,23.8,0.0,96,306,0.7
2024/01/01,03:00,23.7,0.0,97,316,0.2
2024/01/01,04:00,23.8,0.0,97,330,0.5
2024/01/01,05:00,23.7,0.0,97,214,0.2
2024/01/01,06:00,23.6,0.0,97,184,0.1
2024/01/01,07:00,23.6,5.8,98,88,0.6
2024/01/01,08:00,24.0,0.0,98,115,0.3
2024/01/01,09:00,24.6,0.0,97,347,0.1
2024/01/01,10:00,25.8,0.0,95,302,0.1
2024/01/01,11:00,27.6,0.0,90,17,0.9
2024/01/01,12:00,29.6,0.0,84,37,3.1
2024/01/01,13:00,30.4,0.0,80,34,2.8
2024/01/01,14:00,30.9,0.0,76,35,3.0
2024/01/01,15:00,31.3,0.0,72,38,2.5
2024/01/01,16:00,31.8,0.0,70,37,1.8
2024/01/01,17:00,31.6,0.0,69,73,1.4
2024/01/01,18:00,30.2,0.0,75,86,0.4
2024/01/01,19:00,28.2,0.0,85,149,0.2
2024/01/01,20:00,27.1,0.0,89,190,0.0
2024/01/01,21:00,26.6,0.0,91,S/D,0.0
2024/01/01,22:00,26.3,0.0,93,S/D,0.0
2024/01/01,23:00,25.8,0.0,94,S/D,0.0
2024/01/02,00:00,25.4,0.0,94,S/D,0.0
2024/01/02,01:00,25.0,0.0,95,201,0.1
2024/01/02,02:00,24.7,0.0,95,205,0.2
2024/01/02,03:00,24.4,0.0,96,215,0.4
2024/01/02,04:00,24.3,0.0,96,206,0.4
2024/01/02,05:00,24.3,0.0,96,97,0.2
2024/01/02,06:00,24.0,0.0,97,106,0.5
2024/01/02,07:00,24.3,0.0,97,65,0.1
2024/01/02,08:00,26.2,0.0,94,312,0.2
2024/01/02,09:00,27.0,0.0,91,2,0.8
2024/01/02,10:00,28.5,0.0,85,39,2.8
2024/01/02,11:00,29.7,0.0,80,40,3.1
2024/01/02,12:00,30.3,0.0,76,42,3.0
2024/01/02,13:00,31.3,0.0,71,42,2.5
2024/01/02,14:00,31.4,0.0,68,37,2.7
2024/01/02,15:00,31.6,0.0,65,56,2.6
2024/01/02,16:00,32.0,0.0,63,60,2.7
2024/01/02,17:00,31.6,0.0,64,76,2.5
2024/01/02,18:00,30.5,0.0,68,70,1.4
2024/01/02,19:00,28.4,0.0,79,171,0.2
2024/01/02,20:00,26.9,0.0,86,180,0.2
2024/01/02,22:00,25.7,0.0,91,191,0.3
2024/01/02,23:00,25.2,0.0,93,177,0.3
2024/01/03,00:00,24.7,0.0,93,177,0.2
2024/01/03,01:00,24.3,0.0,94,131,0.4
2024/01/03,02:00,24.1,0.0,95,89,0.5
2024/01/03,03:00,23.8,0.0,95,248,0.2
2024/01/03,04:00,23.5,0.0,96,165,0.3
2024/01/03,05:00,23.2,0.0,96,197,0.4
2024/01/03,06:00,22.9,0.0,96,203,0.2
2024/01/03,07:00,23.1,0.0,96,94,0.9
2024/01/03,08:00,24.6,0.0,94,59,1.8
2024/01/03,09:00,26.5,0.0,90,40,2.1
2024/01/03,10:00,28.4,0.0,84,42,3.7
2024/01/03,11:00,29.8,0.0,77,43,3.7
2024/01/03,12:00,30.7,0.0,72,42,3.7
2024/01/03,13:00,31.1,0.0,68,40,3.9
2024/01/03,14:00,32.0,0.0,64,47,3.4
2024/01/03,15:00,32.3,0.0,62,39,3.3
2024/01/03,16:00,32.2,0.0,62,42,3.3
2024/01/03,17:00,31.0,0.0,65,53,1.9
2024/01/03,18:00,30.5,0.0,71,86,0.4
2024/01/03,19:00,28.8,0.0,80,125,0.3
2024/01/03,20:00,27.3,0.0,86,151,0.0
2024/01/03,21:00,26.5,0.0,89,195,0.4
2024/01/03,22:00,25.9,0.0,92,218,0.4
2024/01/03,23:00,25.6,0.0,93,221,0.2
2024/01/04,00:00,25.2,0.0,94,220,0.1
2024/01/04,01:00,24.7,0.0,94,86,0.5
2024/01/04,02:00,24.4,0.0,95,109,0.3
2024/01/04,03:00,24.0,0.0,95,189,0.6
2024/01/04,04:00,23.6,0.0,96,202,0.7
2024/01/04,05:00,23.4,0.0,96,249,0.2
2024/01/04,06:00,23.1,0.0,97,127,1.0
2024/01/04,07:00,23.3,0.0,97,152,0.1
2024/01/04,08:00,25.5,0.0,95,56,0.3
2024/01/04,09:00,27.0,0.0,89,53,1.9
2024/01/04,10:00,28.7,0.0,83,44,3.1
2024/01/04,11:00,30.1,0.0,76,40,3.3
2024/01/04,12:00,31.3,0.0,68,43,3.6
2024/01/04,13:00,32.2,0.0,61,38,3.3
2024/01/04,14:00,32.4,0.0,56,40,3.8
2024/01/04,15:00,32.8,0.0,55,38,3.2
2024/01/04,16:00,32.8,0.0,54,45,2.5
2024/01/04,17:00,32.7,0.0,56,45,1.5
2024/01/04,18:00,31.7,0.0,60,79,1.3
2024/01/04,19:00,28.9,0.0,74,108,0.6
2024/01/04,20:00,26.9,0.0,83,122,0.1
2024/01/04,21:00,26.0,0.0,87,S/D,0.0
2024/01/04,22:00,25.4,0.0,90,156,0.2
2024/01/04,23:00,24.9,0.0,91,102,0.4
2024/01/05,00:00,24.5,0.0,92,183,0.3
2024/01/05,01:00,24.3,0.0,93,183,0.1
2024/01/05,02:00,23.9,0.0,94,204,0.3
2024/01/05,03:00,23.6,0.0,94,210,0.1
2024/01/05,04:00,23.7,0.0,95,69,0.1
2024/01/05,05:00,23.9,0.0,95,37,0.3
2024/01/05,06:00,24.4,0.0,91,66,2.2
2024/01/05,07:00,24.8,0.0,88,69,1.8
2024/01/05,08:00,25.9,0.0,85,45,2.3
2024/01/05,09:00,27.3,0.0,81,40,2.9
2024/01/05,10:00,28.8,0.0,76,43,3.6
2024/01/05,11:00,29.4,0.0,71,47,3.4
2024/01/05,12:00,29.7,0.0,65,57,4.1
2024/01/05,13:00,29.7,0.0,65,62,2.8
2024/01/05,14:00,30.3,0.0,65,46,2.2
2024/01/05,15:00,30.4,0.0,65,74,1.3
2024/01/05,16:00,30.4,0.0,67,84,1.3
2024/01/05,17:00,30.0,0.0,70,111,1.3
2024/01/05,18:00,29.2,0.0,74,114,0.5
2024/01/05,19:00,27.5,0.0,82,S/D,0.0
2024/01/05,20:00,26.4,0.0,87,S/D,0.0
2024/01/05,21:00,25.8,0.0,90,79,0.4
2024/01/05,22:00,25.3,0.0,92,69,0.5
2024/01/05,23:00,S/D,S/D,S/D,S/D,S/D
2024/01/06,00:00,24.4,0.0,94,162,0.5
2024/01/06,01:00,24.4,0.0,94,140,0.0
2024/01/06,02:00,24.4,0.0,95,193,0.4
2024/01/06,03:00,24.3,0.0,95,208,0.2
2024/01/06,04:00,24.2,0.0,96,197,0.3
2024/01/06,05:00,24.1,0.0,96,195,0.1
2024/01/06,06:00,23.9,0.0,96,131,0.5
2024/01/06,07:00,24.0,0.0,96,157,0.2
2024/01/06,08:00,24.8,0.0,95,151,0.2
