Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/04/01,00:00,23.9,0.0,99,S/D,0.0
2025/04/01,01:00,23.9,0.0,100,S/D,0.0
2025/04/01,02:00,23.9,0.0,100,224,0.0
2025/04/01,03:00,23.8,0.0,99,S/D,0.0
2025/04/01,04:00,23.7,0.0,100,S/D,0.0
2025/04/01,05:00,23.4,0.0,100,S/D,0.0
2025/04/01,06:00,23.4,0.0,100,S/D,0.0
2025/04/01,07:00,23.5,0.0,100,S/D,0.0
2025/04/01,08:00,24.1,0.0,98,188,0.0
2025/04/01,09:00,24.7,0.0,95,108,0.1
2025/04/01,10:00,25.9,0.0,89,131,0.2
2025/04/01,11:00,27.4,0.0,83,166,0.0
2025/04/01,12:00,28.3,0.0,81,358,0.3
2025/04/01,13:00,29.0,0.0,77,19,0.9
2025/04/01,14:00,29.5,2.0,74,56,1.6
2025/04/01,15:00,26.0,0.6,88,110,2.6
2025/04/01,16:00,26.4,0.0,88,143,0.7
2025/04/01,17:00,26.6,0.0,88,167,0.4
2025/04/01,18:00,26.1,0.0,92,29,0.0
2025/04/01,19:00,25.5,0.0,96,219,0.0
2025/04/01,20:00,25.4,0.0,96,197,0.3
2025/04/01,21:00,S/D,S/D,S/D,S/D,S/D
2025/04/01,22:00,24.5,0.0,98,239,0.0
2025/04/01,23:00,24.2,0.0,97,186,0.0
2025/04/02,00:00,23.7,0.0,98,172,0.1
2025/04/02,01:00,23.7,0.0,98,214,0.0
2025/04/02,02:00,23.7,0.0,98,210,0.1
2025/04/02,03:00,23.5,0.0,99,S/D,0.0
2025/04/02,04:00,23.5,0.0,99,S/D,0.0
2025/04/02,05:00,23.5,0.0,99,S/D,0.0
2025/04/02,06:00,23.4,0.1,99,S/D,0.0
2025/04/02,07:00,23.6,0.0,98,S/D,0.0
2025/04/02,08:00,24.4,0.0,95,225,0.0
2025/04/02,09:00,25.2,0.0,91,208,0.1
2025/04/02,10:00,25.9,0.0,88,159,1.0
2025/04/02,11:00,26.6,0.0,85,136,0.8
2025/04/02,12:00,27.2,0.0,81,125,2.0
2025/04/02,13:00,24.9,8.1,91,36,3.2
2025/04/02,14:00,22.6,1.2,97,12,1.6
2025/04/02,15:00,23.1,2.5,96,119,0.4
2025/04/02,16:00,23.1,2.3,97,321,0.3
2025/04/02,17:00,23.6,0.2,96,332,0.7
2025/04/02,18:00,23.7,0.0,96,336,0.1
2025/04/02,19:00,23.3,0.0,98,S/D,0.0
2025/04/02,21:00,22.9,0.0,99,S/D,0.0
2025/04/02,22:00,22.9,0.0,99,195,0.0
2025/04/02,23:00,22.8,0.0,99,S/D,0.0
2025/04/03,00:00,22.7,0.0,100,S/D,0.0
2025/04/03,01:00,22.8,0.0,100,S/D,0.0
2025/04/03,02:00,22.7,0.0,100,S/D,0.0
2025/04/03,03:00,22.5,0.0,100,S/D,0.0
2025/04/03,04:00,22.4,0.0,100,200,0.0
2025/04/03,05:00,22.4,0.0,100,309,0.0
2025/04/03,06:00,22.5,0.0,100,S/D,0.0
2025/04/03,07:00,22.6,0.0,100,S/D,0.0
2025/04/03,08:00,22.9,0.0,99,224,0.0
2025/04/03,09:00,23.6,0.0,95,327,0.1
2025/04/03,10:00,24.6,0.0,92,30,0.1
2025/04/03,11:00,26.1,0.0,84,348,0.1
2025/04/03,12:00,26.4,0.0,84,317,0.2
2025/04/03,13:00,27.2,0.0,81,321,0.8
2025/04/03,14:00,28.4,0.0,77,312,0.8
2025/04/03,15:00,29.7,0.0,71,309,1.0
2025/04/03,16:00,30.5,0.0,68,306,0.5
2025/04/03,17:00,30.5,0.0,66,311,0.4
