Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/06/01,00:00,22.6,0.0,98,S/D,0.0
2025/06/01,01:00,22.6,0.3,99,S/D,0.0
2025/06/01,02:00,22.5,0.2,99,S/D,0.0
2025/06/01,03:00,22.6,2.0,99,205,0.4
2025/06/01,04:00,22.5,9.6,98,187,2.6
2025/06/01,05:00,22.0,11.8,99,189,3.1
2025/06/01,06:00,22.0,5.5,99,185,1.9
2025/06/01,07:00,22.0,4.1,99,189,2.3
2025/06/01,08:00,22.3,1.2,98,184,2.2
2025/06/01,09:00,22.7,0.1,97,184,3.0
2025/06/01,10:00,23.5,0.0,94,188,3.1
2025/06/01,11:00,24.2,0.0,91,193,2.5
2025/06/01,12:00,24.4,0.1,91,190,2.3
2025/06/01,13:00,24.6,0.5,92,183,2.9
2025/06/01,14:00,25.3,0.0,88,196,3.1
2025/06/01,15:00,26.3,0.0,83,225,2.3
2025/06/01,16:00,26.1,0.0,83,208,2.2
2025/06/01,17:00,25.7,0.0,86,294,0.9
2025/06/01,18:00,25.3,0.0,87,277,0.4
2025/06/01,19:00,24.6,0.0,91,310,0.3
2025/06/01,20:00,24.4,0.0,92,294,0.0
2025/06/01,21:00,24.2,0.0,94,327,0.1
2025/06/01,22:00,24.0,0.0,94,324,0.1
2025/06/01,23:00,24.0,0.1,95,329,0.0
2025/06/02,00:00,23.9,0.1,96,349,0.0
2025/06/02,01:00,23.6,0.0,96,S/D,0.0
2025/06/02,02:00,23.4,0.0,97,S/D,0.0
2025/06/02,03:00,23.2,0.0,97,310,0.5
2025/06/02,04:00,23.0,0.0,97,318,0.5
2025/06/02,05:00,22.9,0.0,97,309,0.1
2025/06/02,06:00,22.8,0.0,97,298,0.1
2025/06/02,07:00,
