Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/02/01,00:00,S/D,S/D,S/D,S/D,S/D
2025/02/01,01:00,23.2,0.0,99,179,0.1
2025/02/01,02:00,23.1,0.0,99,167,0.1
2025/02/01,03:00,23.0,0.3,99,S/D,0.0
2025/02/01,04:00,22.9,0.0,99,S/D,0.0
2025/02/01,05:00,22.8,0.0,99,S/D,0.0
2025/02/01,06:00,22.8,0.0,99,S/D,0.0
2025/02/01,07:00,22.8,0.0,99,S/D,0.0
2025/02/01,08:00,23.2,0.0,99,331,0.0
2025/02/01,09:00,24.1,0.0,95,314,0.2
2025/02/01,10:00,25.2,0.0,89,283,0.1
2025/02/01,11:00,26.5,0.0,84,332,0.2
2025/02/01,12:00,28.0,0.0,76,36,1.0
2025/02/01,13:00,29.2,0.0,70,40,1.8
2025/02/01,14:00,29.1,0.0,69,26,1.6
2025/02/01,15:00,30.1,0.0,64,39,3.4
