Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/05/01,00:00,24.0,0.0,97,84,0.9
2025/05/01,01:00,23.6,10.7,96,48,0.8
2025/05/01,02:00,23.3,0.1,99,S/D,0.0
2025/05/01,03:00,23.4,0.0,99,345,0.0
2025/05/01,04:00,23.2,1.4,99,6,1.5
2025/05/01,05:00,22.7,1.2,98,12,1.6
2025/05/01,06:00,22.6,0.1,98,16,1.7
2025/05/01,07:00,22.6,0.0,98,19,0.2
2025/05/01,08:00,23.2,0.0,96,36,0.3
2025/05/01,09:00,23.9,0.0,92,89,0.2
2025/05/01,10:00,25.4,0.0,86,258,0.7
2025/05/01,11:00,26.6,0.0,78,319,0.6
2025/05/01,12:00,27.4,0.0,77,255,1.4
2025/05/01,13:00,27.1,0.0,87,255,2.1
2025/05/01,14:00,26.8,0.0,87,268,1.7
2025/05/01,15:00,27.9,0.0,84,275,1.5
2025/05/01,16:00,27.9,0.0,83,285,1.2
2025/05/01,17:00,27.4,0.0,83,287,0.2
2025/05/01,18:00,27.1,0.0,86,96,0.1
2025/05/01,19:00,26.1,0.0,91,117,0.1
2025/05/01,20:00,25.5,0.0,94,120,0.0
2025/05/01,21:00,25.0,0.0,95,S/D,0.0
2025/05/01,22:00,24.6,0.0,96,S/D,0.0
2025/05/01,23:00,24.2,0.0,96,245,0.1
2025/05/02,00:00,23.9,0.0,96,237,0.1
2025/05/02,01:00,23.8,0.0,96,S/D,0.0
2025/05/02,02:00,23.8,0.0,97,S/D,0.0
2025/05/02,03:00,23.7,0.0,97,299,0.0
2025/05/02,04:00,23.7,0.1,97,275,0.1
2025/05/02,05:00,23.6,0.0,97,284,0.1
2025/05/02,06:00,23.7,0.0,97,338,0.0
2025/05/02,07:00,23.7,0.0,96,314,0.1
2025/05/02,08:00,24.1,0.0,96,S/D,0.0
2025/05/02,09:00,24.7,0.0,94,166,0.1
2025/05/02,10:00,25.6,0.0,91,173,0.2
2025/05/02,11:00,26.8,0.0,86,350,0.2
2025/05/02,12:00,27.0,0.6,85,169,1.4
2025/05/02,13:00,28.0,0.0,82,19,0.4
2025/05/02,14:00,28.5,0.0,79,262,1.8
2025/05/02,15:00,27.9,0.3,83,291,2.2
2025/05/02,16:00,27.9,0.0,81,320,1.3
2025/05/02,17:00,25.7,2.8,90,84,0.6
2025/05/02,18:00,25.7,0.0,94,6,0.3
2025/05/02,19:00,25.2,0.0,95,68,0.2
2025/05/02,20:00,24.7,0.0,96,79,0.0
2025/05/02,21:00,24.4,0.0,97,259,0.1
2025/05/02,22:00,24.4,0.0,97,S/D,0.0
2025/05/02,23:00,24.1,0.0,98,S/D,0.0
