Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/10/01,00:00,23.9,0.0,92,153,1.3
2025/10/01,01:00,23.8,0.0,93,137,1.0
2025/10/01,02:00,23.6,0.0,94,56,0.4
2025/10/01,03:00,23.6,0.0,95,214,0.2
2025/10/01,04:00,23.5,0.0,95,229,0.4
2025/10/01,05:00,23.4,0.0,96,233,0.7
2025/10/01,06:00,23.6,0.0,96,216,0.9
2025/10/01,07:00,23.3,0.0,98,194,1.1
2025/10/01,08:00,23.1,0.0,99,275,1.7
2025/10/01,09:00,22.9,0.0,98,272,2.1
2025/10/01,10:00,23.8,0.0,96,259,1.3
2025/10/01,11:00,25.4,0.0,91,284,1.4
2025/10/01,12:00,26.8,0.0,86,283,2.1
2025/10/01,13:00,27.2,0.0,83,303,2.6
2025/10/01,14:00,27.9,0.0,78,316,2.3
2025/10/01,15:00,28.1,0.0,75,339,2.4
2025/10/01,16:00,26.5,0.0,81,16,2.3
2025/10/01,17:00,25.5,0.0,86,22,0.9
2025/10/01,18:00,25.2,0.0,89,347,0.2
2025/10/01,19:00,24.7,0.0,92,112,0.6
2025/10/01,20:00,24.3,0.0,94,105,0.6
2025/10/01,21:00,24.3,0.0,95,132,0.9
2025/10/01,22:00,24.3,0.0,95,51,0.2
2025/10/01,23:00,24.1,0.0,96,88,0.4
2025/10/02,00:00,23.9,0.0,96,S/D,0.0
2025/10/02,01:00,23.7,0.0,97,116,0.2
2025/10/02,02:00,23.3,0.0,97,68,0.0
2025/10/02,03:00,23.0,0.0,98,105,0.2
2025/10/02,04:00,22.9,0.0,98,S/D,0.0
2025/10/02,05:00,22.7,0.0,98,S/D,0.0
2025/10/02,06:00,22.4,0.0,99,S/D,0.0
2025/10/02,07:00,22.9,0.0,99,204,0.1
2025/10/02,08:00,23.7,0.0,97,174,0.2
2025/10/02,09:00,24.2,0.0,95,182,2.1
2025/10/02,10:00,24.9,0.0,91,188,1.8
2025/10/02,11:00,26.9,0.0,85,283,0.9
2025/10/02,12:00,28.6,0.0,79,316,1.8
2025/10/02,13:00,30.0,0.0,72,312,1.5
2025/10/02,14:00,30.8,0.0,66,308,1.4
2025/10/02,15:00,31.6,0.0,62,294,1.3
2025/10/02,16:00,32.2,0.0,59,297,1.3
2025/10/02,17:00,32.1,0.0,59,267,0.6
2025/10/02,18:00,28.5,0.0,74,182,1.8
2025/10/02,19:00,26.5,0.0,85,45,1.0
2025/10/02,20:00,24.4,0.0,94,58,1.9
2025/10/02,21:00,23.0,0.0,98,62,2.5
2025/10/02,22:00,22.9,0.0,99,202,1.8
2025/10/02,23:00,23.4,0.0,99,229,1.8
2025/10/03,00:00,22.9,0.0,99,226,1.5
2025/10/03,01:00,22.7,0.0,99,203,1.4
2025/10/03,02:00,22.7,0.0,99,208,0.6
2025/10/03,03:00,22.6,0.0,99,59,0.2
2025/10/03,04:00,22.8,0.0,98,39,1.1
2025/10/03,05:00,22.7,0.0,99,199,1.4
2025/10/03,06:00,22.5,0.0,99,239,0.6
2025/10/03,07:00,22.8,0.0,98,252,1.0
2025/10/03,08:00,23.3,0.0,97,294,1.7
2025/10/03,09:00,23.9,0.0,94,304,1.9
2025/10/03,10:00,24.2,0.0,93,333,1.7
2025/10/03,11:00,24.7,0.0,91,336,2.6
2025/10/03,12:00,24.7,0.0,89,328,3.3
2025/10/03,13:00,25.2,0.0,87,306,2.6
2025/10/03,14:00,25.2,0.0,85,309,3.1
2025/10/03,15:00,26.3,0.0,80,300,2.4
2025/10/03,16:00,26.3,0.0,78,302,2.4
2025/10/03,17:00,26.4,0.0,79,313,1.8
2025/10/03,18:00,25.4,0.0,84,326,0.6
2025/10/03,19:00,24.5,0.0,89,S/D,0.0
2025/10/03,20:00,24.0,0.0,92,S/D,0.0
2025/10/03,21:00,23.9,0.0,94,176,0.1
2025/10/03,22:00,23.8,0.0,95,198,0.7
2025/10/03,23:00,23.7,0.0,96,214,0.5
2025/10/04,00:00,23.7,0.0,96,216,1.7
2025/10/04,01:00,23.4,0.0,96,230,0.9
2025/10/04,02:00,23.2,0.0,96,228,0.2
2025/10/04,03:00,23.0,0.0,97,211,0.7
2025/10/04,04:00,22.8,0.0,97,238,1.0
2025/10/04,05:00,22.4,0.0,97,228,0.8
2025/10/04,06:00,22.4,0.0,97,260,0.2
2025/10/04,07:00,22.6,0.0,97,182,0.1
2025/10/04,08:00,23.1,0.0,96,S/D,0.0
2025/10/04,09:00,23.8,0.0,94,285,0.6
2025/10/04,10:00,25.0,0.0,89,226,0.3
2025/10/04,11:00,26.7,0.0,83,314,0.9
2025/10/04,12:00,27.8,0.0,79,312,1.1
2025/10/04,13:00,29.4,0.0,71,303,1.6
2025/10/04,14:00,30.8,0.0,64,299,1.5
2025/10/04,15:00,31.1,0.0,61,303,1.3
2025/10/04,16:00,31.9,0.0,59,290,1.1
2025/10/04,17:00,30.9,0.0,62,300,1.8
2025/10/04,18:00,29.2,0.0,69,286,0.5
2025/10/04,19:00,27.0,0.0,80,145,0.0
2025/10/04,20:00,25.3,0.0,89,S/D,0.0
2025/10/04,21:00,24.9,0.0,91,147,0.0
2025/10/04,22:00,24.5,0.0,93,327,0.0
2025/10/04,23:00,24.0,0.0,95,208,0.1
2025/10/05,00:00,23.6,0.0,96,186,0.0
2025/10/05,01:00,23.2,0.0,96,S/D,0.0
2025/10/05,02:00,23.2,0.0,96,S/D,0.0
2025/10/05,03:00,23.0,0.0,97,256,0.1
2025/10/05,04:00,22.7,0.0,97,195,0.1
2025/10/05,05:00,22.5,0.0,97,194,0.0
2025/10/05,06:00,22.6,0.0,98,S/D,0.0
2025/10/05,07:00,23.3,0.0,97,99,0.0
2025/10/05,08:00,25.1,0.0,95,342,0.2
2025/10/05,09:00,27.2,0.0,88,357,0.7
2025/10/05,10:00,29.3,0.0,78,29,1.5
2025/10/05,11:00,30.6,0.0,70,29,1.0
2025/10/05,12:00,31.8,0.0,61,333,0.8
