Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/11/01,00:00,24.1,0.0,97,S/D,0.0
2024/11/01,01:00,23.8,0.0,97,S/D,0.0
2024/11/01,02:00,23.5,0.0,97,S/D,0.0
2024/11/01,03:00,23.2,0.0,97,S/D,0.0
2024/11/01,04:00,22.9,0.0,97,S/D,0.0
2024/11/01,05:00,22.6,0.0,98,S/D,0.0
2024/11/01,06:00,22.3,0.0,98,S/D,0.0
2024/11/01,07:00,24.1,0.0,93,S/D,0.0
2024/11/01,08:00,26.7,0.0,82,34,0.4
2024/11/01,09:00,28.5,
