Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/09/01,00:00,22.7,0.0,97,S/D,0.0
2025/09/01,01:00,22.9,0.0,98,328,0.1
2025/09/01,02:00,22.9,0.0,98,118,0.2
2025/09/01,03:00,22.8,0.0,98,53,0.2
2025/09/01,04:00,23.2,0.0,99,30,1.4
2025/09/01,05:00,23.4,0.0,99,349,0.2
2025/09/01,06:00,23.2,0.0,99,124,0.1
2025/09/01,07:00,23.1,0.0,99,124,1.3
2025/09/01,08:00,23.5,0.0,98,65,1.8
2025/09/01,09:00,23.7,0.0,97,55,2.5
2025/09/01,10:00,24.0,0.0,95,41,1.6
2025/09/01,11:00,24.9,0.0,92,75,1.3
2025/09/01,12:00,26.4,0.0,87,29,1.4
2025/09/01,13:00,26.6,0.0,86,31,1.0
2025/09/01,14:00,26.8,0.0,86,24,0.5
2025/09/01,15:00,27.6,0.0,83,310,0.2
2025/09/01,16:00,27.9,0.0,81,4,0.6
2025/09/01,17:00,28.2,0.0,75,9,1.0
2025/09/01,18:00,27.4,0.0,75,32,0.6
2025/09/01,19:00,25.6,0.0,86,68,0.3
2025/09/01,20:00,24.8,0.0,90,20,0.1
2025/09/01,21:00,24.6,0.0,92,S/D,0.0
2025/09/01,22:00,24.4,0.0,93,88,0.0
2025/09/01,23:00,23.8,0.0,94,S/D,0.0
2025/09/02,00:00,23.5,0.0,95,S/D,0.0
2025/09/02,01:00,23.3,0.0,95,93,0.4
2025/09/02,02:00,23.3,0.0,95,76,0.9
2025/09/02,03:00,23.2,0.0,96,95,0.4
2025/09/02,04:00,23.1,0.0,97,83,0.7
2025/09/02,05:00,22.9,0.0,97,96,1.6
2025/09/02,06:00,22.8,0.0,97,69,0.1
2025/09/02,07:00,22.9,0.0,97,220,1.0
2025/09/02,08:00,23.3,0.0,96,246,1.5
2025/09/02,09:00,23.7,0.0,92,271,2.1
2025/09/02,10:00,24.5,0.0,89,281,1.0
2025/09/02,11:00,25.5,0.0,86,249,0.4
2025/09/02,12:00,27.4,0.0,82,315,0.8
2025/09/02,13:00,28.1,0.0,77,269,1.3
2025/09/02,14:00,27.8,0.0,75,286,1.7
2025/09/02,15:00,28.3,0.0,73,300,2.0
2025/09/02,16:00,28.4,0.0,72,302,2.4
2025/09/02,17:00,28.2,0.0,74,297,2.0
2025/09/02,18:00,27.6,0.0,76,289,1.5
2025/09/02,19:00,26.4,0.0,81,291,0.6
2025/09/02,20:00,25.5,0.0,87,319,0.1
2025/09/02,21:00,25.1,0.0,90,279,0.1
2025/09/02,22:00,24.6,0.0,92,131,0.6
2025/09/02,23:00,24.3,0.0,93,176,1.0
2025/09/03,00:00,24.0,0.0,94,183,0.4
2025/09/03,01:00,23.7,0.0,95,193,0.0
2025/09/03,02:00,23.4,0.0,96,253,0.1
2025/09/03,03:00,23.2,0.0,96,S/D,0.0
2025/09/03,04:00,22.8,0.0,97,S/D,0.0
2025/09/03,05:00,22.7,0.0,97,S/D,0.0
2025/09/03,06:00,22.6,0.0,97,336,0.0
2025/09/03,07:00,22.8,0.0,97,16,0.1
2025/09/03,08:00,24.1,0.0,95,322,0.1
2025/09/03,09:00,25.6,0.0,87,291,1.0
2025/09/03,10:00,27.3,0.0,81,248,0.8
2025/09/03,11:00,27.8,0.0,78,182,4.1
2025/09/03,12:00,28.5,0.0,73,191,3.0
2025/09/03,13:00,29.3,0.0,70,200,1.9
2025/09/03,14:00,30.3,0.0,66,212,1.4
2025/09/03,15:00,31.1,0.0,62,248,1.2
2025/09/03,16:00,31.0,0.0,62,233,1.9
2025/09/03,17:00,30.8,0.0,61,244,2.1
2025/09/03,18:00,29.0,0.0,67,230,2.3
2025/09/03,19:00,27.1,0.0,76,224,1.3
2025/09/03,20:00,25.6,0.0,85,S/D,0.0
2025/09/03,21:00,25.2,0.0,87,139,2.4
2025/09/03,22:00,24.5,0.0,86,111,2.6
2025/09/03,23:00,23.8,0.0,87,50,1.7
2025/09/04,00:00,23.7,0.0,88,340,0.7
2025/09/04,01:00,23.5,0.0,89,322,1.0
2025/09/04,02:00,23.4,0.0,90,13,1.6
2025/09/04,03:00,23.1,0.0,91,314,0.4
