Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/03/01,00:00,24.4,0.0,95,S/D,0.0
2026/03/01,01:00,24.0,0.0,95,S/D,0.0
2026/03/01,02:00,23.6,0.0,96,204,0.2
2026/03/01,03:00,23.2,0.0,96,203,0.2
2026/03/01,04:00,23.0,0.0,97,S/D,0.0
2026/03/01,05:00,22.7,0.0,97,S/D,0.0
2026/03/01,06:00,22.6,0.0,97,S/D,0.0
2026/03/01,07:00,23.0,0.0,97,352,0.3
2026/03/01,08:00,24.7,0.0,96,10,0.2
2026/03/01,09:00,26.0,0.0,92,37,0.7
2026/03/01,10:00,28.0,0.0
