Estación : GUEPPI
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,TENIENTE MANUEL CLAVERO
Latitud :,0°7'1.92'',Longitud :,75°15'1.08'',Altitud :,199 msnm.
Tipo :,EMA - Meteorológica,Código :,101004
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/10/01,00:00,24.8,0.0,93,202,0.0
2024/10/01,01:00,24.8,0.0,94,199,0.0
2024/10/01,02:00,24.6,0.0,94,230,0.0
2024/10/01,03:00,24.5,0.0,95,S/D,0.0
2024/10/01,04:00,24.2,0.0,95,231,0.0
2024/10/01,05:00,23.9,0.0,96,238,0.0
2024/10/01,06:00,23.6,0.0,97,S/D,0.0
2024/10/01,07:00,23.8,0.0,96,198,0.1
2024/10/01,08:00,24.7,0.1,94,198,0.2
2024/10/01,09:00,26.5,0.0,87,144,0.1
2024/10/01,10:00,27.3,0.0,85,354,0.0
2024/10/01,11:00,28.9,0.0,79,323,0.0
2024/10/01,12:00,29.9,0.0,73,94,0.5
2024/10/01,13:00,29.9,0.0,74,120,0.7
2024/10/01,14:00,31.3,0.0,64,67,0.2
2024/10/01,15:00,31.4,0.0,66,43,0.8
2024/10/01,16:00,30.5,0.0,70,21,0.8
2024/10/01,17:00,28.7,0.0,76,286,0.2
2024/10/01,18:00,27.7,0.0,79,165,0.5
2024/10/01,19:00,27.1,0.0,84,144,0.5
2024/10/01,20:00,26.5,0.1,88,126,0.0
2024/10/01,21:00,26.2,0.0,90,104,0.1
2024/10/01,22:00,25.7,0.0,92,46,0.0
2024/10/01,23:00,25.1,0.0,94,S/D,0.0
2024/10/02,00:00,24.9,0.0,95,S/D,0.0
2024/10/02,01:00,24.6,0.0,96,183,0.1
2024/10/02,02:00,24.6,0.0,96,S/D,0.0
2024/10/02,03:00,24.2,0.0,97,S/D,0.0
2024/10/02,04:00,24.0,0.0,97,S/D,0.0
2024/10/02,05:00,23.4,0.0,97,S/D,0.0
2024/10/02,06:00,23.4,0.0,98,S/D,0.0
2024/10/02,07:00,24.1,0.0,98,313,0.2
2024/10/02,08:00,25.4,0.0,94,290,0.0
2024/10/02,09:00,27.0,0.0,88,279,0.2
2024/10/02,10:00,28.6,0.1,81,265,0.0
2024/10/02,11:00,30.6,0.0,73,321,0.0
2024/10/02,12:00,32.0,0.0,65,303,0.2
2024/10/02,13:00,33.3,0.0,58,311,0.3
2024/10/02,14:00,33.7,0.0,54,124,0.2
2024/10/02,15:00,33.4,0.0,55,175,0.6
2024/10/02,16:00,34.0,0.0,53,186,0.9
2024/10/02,17:00,31.6,0.0,63,159,2.1
2024/10/02,18:00,29.4,0.0,82,162,0.0
2024/10/02,19:00,27.6,0.0,88,160,0.0
2024/10/02,20:00,26.8,0.0,91,S/D,0.0
2024/10/02,21:00,26.5,0.0,93,S/D,0.0
2024/10/02,22:00,26.1,0.1,94,S/D,0.0
2024/10/02,23:00,25.8,0.0,95,7,0.3
2024/10/03,00:00,25.2,0.0,86,7,2.1
2024/10/03,01:00,24.8,0.0,91,169,0.7
2024/10/03,02:00,25.1,0.0,92,329,0.4
2024/10/03,03:00,24.8,0.0,94,332,1.2
2024/10/03,04:00,24.4,0.0,94,325,0.9
2024/10/03,05:00,24.1,0.0,94,318,1.2
2024/10/03,06:00,23.7,0.0,94,314,0.3
2024/10/03,07:00,24.0,0.0,93,314,0.4
2024/10/03,08:00,25.4,0.0,87,307,0.1
2024/10/03,09:00,27.2,0.0,81,S/D,0.0
2024/10/03,10:00,28.7,0.0,76,49,0.1
2024/10/03,11:00,30.5,0.0,69,30,0.6
2024/10/03,12:00,32.1,0.0,62,29,1.5
2024/10/03,13:00,33.1,0.0,57,35,1.8
2024/10/03,14:00,33.9,0.0,54,40,0.9
2024/10/03,15:00,34.1,0.0,53,37,1.1
2024/10/03,16:00,34.1,0.0,50,43,1.1
2024/10/03,17:00,33.7,0.0,54,37,0.9
2024/10/03,18:00,32.4,0.0,61,40,0.2
2024/10/03,19:00,30.2,0.0,72,308,0.1
2024/10/03,20:00,29.1,0.0,74,37,1.3
2024/10/03,21:00,27.7,0.0,75,151,0.6
2024/10/03,22:00,27.5,0.0,80,168,1.0
2024/10/03,23:00,27.2,0.0,81,179,1.2
2024/10/04,00:00,25.4,0.0,89,174,4.6
2024/10/04,01:00,24.3,0.0,93,199,4.1
2024/10/04,02:00,23.9,0.0,94,233,2.1
2024/10/04,03:00,23.8,0.0,93,297,2.4
2024/10/04,04:00,23.5,0.0,91,310,1.3
2024/10/04,05:00,23.1,0.0,92,273,0.1
2024/10/04,06:00,22.8,0.0,94,344,0.0
2024/10/04,07:00,23.0,0.1,94,336,0.8
2024/10/04,08:00,23.6,0.0,91,310,0.9
2024/10/04,09:00,25.2,0.0,88,348,1.4
2024/10/04,10:00,27.0,0.0,82,349,2.9
2024/10/04,11:00,27.9,0.0,77,349,2.4
2024/10/04,12:00,29.3,0.0,72,348,1.9
2024/10/04,13:00,30.4,0.0,68,308,1.1
2024/10/04,14:00,31.0,0.0,66,280,1.8
2024/10/04,15:00,31.5,0.0,65,278,1.2
2024/10/04,16:00,31.1,0.0,65,285,1.0
2024/10/04,17:00,29.8,0.0,71,284,0.1
2024/10/04,18:00,28.9,0.0,75,263,0.0
2024/10/04,19:00,27.4,0.0,83,S/D,0.0
2024/10/04,20:00,26.6,0.0,88,S/D,0.0
2024/10/04,21:00,26.4,0.0,90,145,0.2
2024/10/04,22:00,26.2,0.0,91,118,0.6
2024/10/04,23:00,26.1,0.0,93,118,0.3
2024/10/05,00:00,25.7,0.0,94,66,0.1
2024/10/05,01:00,24.9,0.0,94,82,0.0
2024/10/05,02:00,24.7,0.0,95,310,0.1
2024/10/05,03:00,24.7,0.0,96,275,0.0
2024/10/05,04:00,24.4,0.0,97,219,0.3
2024/10/05,05:00,24.3,0.0,96,211,1.1
2024/10/05,06:00,24.2,0.0,95,231,0.4
2024/10/05,07:00,24.5,0.0,94,220,0.6
2024/10/05,08:00,25.3,0.0,90,224,0.7
2024/10/05,09:00,27.3,0.0,82,203,1.3
2024/10/05,10:00,29.0,0.0,74,192,0.5
2024/10/05,11:00,30.3,0.0,70,216,0.3
2024/10/05,12:00,30.7,0.0,68,269,0.4
2024/10/05,13:00,31.7,0.0,64,266,1.0
2024/10/05,14:00,32.5,0.0,59,243,1.0
2024/10/05,15:00,32.3,0.0,60,269,1.3
2024/10/05,16:00,31.6,0.0,61,192,1.8
2024/10/05,17:00,27.1,0.0,76,123,3.0
2024/10/05,18:00,25.4,0.0,84,76,1.0
2024/10/05,19:00,24.7,0.0,88,S/D,0.0
2024/10/05,20:00,24.4,0.0,90,S/D,0.0
2024/10/05,21:00,24.3,0.0,92,336,0.0
2024/10/05,22:00,24.3,0.1,92,3,0.0
2024/10/05,23:00,24.1,0.0,93,S/D,0.0
2024/10/06,00:00,23.8,0.0,94,201,0.0
2024/10/06,01:00,23.7,0.0,95,192,0.0
2024/10/06,02:00,23.6,0.0,96,S/D,0.0
2024/10/06,03:00,23.3,0.0,96,S/D,0.0
2024/10/06,04:00,23.0,0.0,96,S/D,0.0
2024/10/06,05:00,22.8,0.0,97,S/D,0.0
2024/10/06,06:00,22.6,0.0,97,330,0.0
2024/10/06,07:00,23.9,0.0,96,S/D,0.0
2024/10/06,08:00,25.8,0.0,90,333,0.0
